Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,157,934,482,0.823,24.950,6776679
1,158,884,448,1.850,56.067,7237230
1,159,880,448,0.122,3.709,7171437
1,160,833,477,1.690,51.210,6842472
1,161,836,664,5.723,173.422,8421504
1,162,849,650,0.585,17.716,8553090
1,163,872,589,1.995,60.451,8224125
1,164,872,574,0.459,13.909,8224125
1,165,876,557,0.534,16.194,8158332
1,166,813,652,3.488,105.701,8421504
1,167,840,629,1.085,32.889,8421504
1,168,793,682,2.168,65.686,8487297
1,169,792,688,0.186,5.640,8487297
1,170,713,769,3.462,104.917,8289918
1,171,766,750,1.723,52.208,8421504
1,172,792,730,1.004,30.417,8421504
1,173,793,730,0.031,0.927,8224125
1,174,793,730,0.000,0.000,8224125
1,175,782,732,0.342,10.367,8092539
1,176,793,733,0.338,10.242,8158332
1,177,800,756,0.736,22.293,8026746
1,178,800,754,0.061,1.855,8026746
1,179,802,746,0.252,7.646,8158332
1,180,804,740,0.194,5.865,8026746
1,181,826,684,1.841,55.791,8487297
1,182,838,674,0.478,14.484,8421504
1,183,846,664,0.392,11.875,8421504
1,184,840,641,0.727,22.041,8224125
1,185,857,572,2.175,65.895,8092539
1,186,820,621,1.879,56.935,8289918
1,187,862,568,2.069,62.706,8092539
1,188,861,573,0.156,4.728,8092539
1,189,813,622,2.099,63.604,8421504
1,190,805,665,1.338,40.557,8421504
1,191,824,622,1.439,43.592,8158332
1,192,790,654,1.429,43.295,8487297
1,193,785,660,0.239,7.242,8553090
1,194,821,613,1.812,54.897,8289918
1,195,858,576,1.601,48.520,7960953
1,196,810,632,2.257,68.392,8421504
1,197,830,597,1.234,37.380,8158332
1,198,838,597,0.245,7.418,8158332
1,199,845,577,0.648,19.649,8092539
1,200,805,626,1.936,58.653,8487297
1,201,822,600,0.951,28.805,8289918
1,202,838,581,0.760,23.033,8289918
1,203,834,590,0.301,9.133,8487297
1,204,841,592,0.223,6.751,8421504
1,205,850,582,0.412,12.475,8289918
1,206,858,572,0.392,11.875,8224125
1,207,858,572,0.000,0.000,8224125
1,208,854,566,0.221,6.687,8224125
1,209,861,560,0.282,8.549,8289918
1,210,857,576,0.505,15.293,7829367
1,211,848,589,0.484,14.661,8026746
1,212,845,589,0.092,2.782,7631988
1,213,836,600,0.435,13.179,8092539
1,214,834,601,0.068,2.073,8026746
1,215,829,600,0.156,4.728,8158332
1,216,828,597,0.097,2.932,8092539
1,217,828,592,0.153,4.636,8158332
1,218,818,585,0.374,11.319,8289918
