Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,159,954,468,0.099,3.000,9539985
1,160,921,516,1.922,58.249,8355711
1,161,893,525,0.971,29.411,8355711
1,162,924,481,1.776,53.824,8882055
1,163,924,481,0.000,0.000,8947848
1,164,926,526,1.486,45.044,8355711
1,165,952,488,1.519,46.043,8618883
1,166,913,537,2.067,62.626,8158332
1,167,946,478,2.231,67.602,8553090
1,168,946,478,0.000,0.000,8553090
1,169,938,509,1.057,32.016,8618883
1,170,905,548,1.686,51.088,7829367
1,171,932,513,1.459,44.204,8355711
1,172,908,540,1.192,36.125,8224125
1,173,908,540,0.000,0.000,8158332
1,174,934,512,1.261,38.210,8553090
1,175,894,525,1.388,42.059,8026746
1,176,921,496,1.308,39.623,8882055
1,177,898,529,1.327,40.224,8158332
1,178,900,526,0.119,3.606,8224125
1,179,940,486,1.867,56.569,8618883
1,180,901,525,1.820,55.154,8158332
1,181,938,497,1.531,46.400,8816262
1,182,930,509,0.476,14.422,8816262
1,183,930,509,0.000,0.000,8684676
1,184,900,541,1.447,43.863,8882055
1,185,929,501,1.630,49.406,8816262
1,186,949,482,0.910,27.586,8882055
1,187,937,496,0.608,18.439,9013641
1,188,937,496,0.000,0.000,9013641
1,189,953,469,1.036,31.385,9211020
1,190,942,489,0.753,22.825,8947848
1,191,918,520,1.294,39.205,8355711
1,192,917,522,0.074,2.236,8421504
1,193,957,469,2.191,66.400,9474192
1,194,912,524,2.345,71.063,8487297
1,195,952,477,2.037,61.717,9211020
1,196,914,532,2.206,66.851,8421504
1,197,914,529,0.099,3.000,8553090
1,198,900,537,0.532,16.125,7960953
1,199,925,516,1.077,32.650,8421504
1,200,917,540,0.835,25.298,8487297
1,201,944,505,1.459,44.204,8750469
1,202,945,504,0.047,1.414,8750469
1,203,914,552,1.886,57.140,8421504
1,204,937,514,1.466,44.418,8618883
1,205,918,512,0.630,19.105,8487297
1,206,944,492,1.082,32.802,8684676
1,207,944,492,0.000,0.000,8684676
1,208,913,521,1.401,42.450,8684676
1,209,941,482,1.584,48.010,9145227
1,210,914,536,1.992,60.374,8421504
1,211,944,492,1.757,53.254,8882055
1,212,944,493,0.033,1.000,8882055
1,213,925,502,0.694,21.024,8618883
1,214,941,494,0.590,17.889,8816262
1,215,913,514,1.136,34.409,8487297
1,216,896,536,0.917,27.803,8684676
1,217,896,536,0.000,0.000,8684676
1,218,920,505,1.294,39.205,8618883
1,219,908,533,1.005,30.463,8487297
1,220,913,520,0.460,13.928,8618883
1,221,916,546,0.864,26.173,8684676
1,222,916,546,0.000,0.000,8553090
1,223,937,516,1.208,36.620,8553090
1,224,922,529,0.655,19.849,9408399
1,225,926,510,0.641,19.416,8618883
1,226,926,510,0.000,0.000,8618883
1,227,929,534,0.798,24.187,8553090
1,228,932,514,0.667,20.224,8684676
1,229,922,536,0.797,24.166,8355711
1,230,938,513,0.925,28.018,8618883
1,231,938,513,0.000,0.000,8618883
1,232,932,522,0.357,10.817,8421504
1,233,949,486,1.314,39.812,9145227
1,234,928,509,1.028,31.145,8421504
1,235,949,477,1.263,38.275,8947848
1,236,948,477,0.033,1.000,8882055
1,237,933,509,1.166,35.341,8684676
1,238,893,553,1.962,59.464,8289918
1,239,922,505,1.851,56.080,8618883
1,240,945,466,1.494,45.277,8947848
1,241,945,466,0.000,0.000,8947848
1,242,937,494,0.961,29.120,8882055
1,243,906,548,2.055,62.266,8421504
1,244,937,500,1.886,57.140,8553090
1,245,914,545,1.668,50.537,8289918
1,246,914,545,0.000,0.000,8289918
1,247,941,500,1.732,52.479,8750469
1,248,922,536,1.343,40.706,8289918
1,249,946,494,1.596,48.374,9013641
1,250,906,540,2.012,60.959,8487297
1,251,905,540,0.033,1.000,8487297
1,252,926,506,1.319,39.962,8750469
1,253,905,526,0.957,29.000,8750469
1,254,924,509,0.841,25.495,8882055
1,255,909,532,0.906,27.459,8553090
1,256,913,528,0.187,5.657,8487297
1,257,920,517,0.430,13.038,8618883
1,258,893,533,1.036,31.385,8421504
1,259,922,494,1.604,48.600,9013641
1,260,922,494,0.000,0.000,9013641
1,261,914,534,1.346,40.792,8224125
1,262,941,496,1.538,46.615,9013641
1,263,953,477,0.742,22.472,9145227
1,264,937,502,0.979,29.682,8487297
1,265,937,502,0.000,0.000,8487297
1,266,920,532,1.138,34.482,8816262
1,267,942,498,1.336,40.497,8684676
1,268,936,524,0.881,26.683,8487297
